year,title,type,wiki_id,tvt_id,trope_count
1931,The Smiling Lieutenant,film,61062,478034,13
1931,A Free Soul,film,144765,482481,13
1931,Cimarron,film,2410609,496701,21
1931,Tabu,film,76375,499665,11
1932,Doctor X,film,6174864,71082,38
1932,Murders in the Rue Morgue,film,5479998,267328,16
1932,White Zombie,film,1610321,338340,20
1932,Freaks,film,73494,351302,40
1932,The Music Box,film,74971,388274,29
1932,Island of Lost Souls,film,5480364,393162,14
1932,Horse Feathers,film,1014242,395129,31
1932,Grand Hotel,film,44752,395140,25
1932,The Greeks Had a Word for Them,film,16794046,395141,8
1932,I Am a Fugitive from a Chain Gang,film,61070,395142,30
1932,Trouble in Paradise,film,76399,395143,19
1932,The Mummy (1932),film,253833,399457,30
1932,Scarface (1932),film,76331,455063,27
1932,The Old Dark House (1932),film,2629975,457953,21
1932,Red Dust,film,2615418,462295,21
1932,Call Her Savage,film,18779810,480429,27
1932,Red-Headed Woman,film,1141361,481524,19
1932,Downstairs,film,27283528,482525,17
1932,Blonde Venus,film,8030277,500953,18
1933,The Invisible Man,film,1605299,298381,31
1933,42nd Street,film,840058,314777,24
1933,Queen Christina,film,2513887,329457,10
1933,Flying Down to Rio,film,2528686,381756,25
1933,Duck Soup,film,73440,395130,55
1933,Female,film,11570453,395298,22
1933,Gabriel Over the White House,film,2404582,395299,13
1933,Gold Diggers of 1933,film,2810604,395300,25
1933,Footlight Parade,film,73473,395301,16
1933,Mystery of the Wax Museum,film,2091547,405513,20
1933,Sons of the Desert,film,361280,411585,9
1933,Baby Face,film,2285254,422092,25
1933,Lady for a Day,film,61071,426135,14
1933,Murders in the Zoo,film,24917225,439518,11
1933,Cavalcade,film,3947300,452585,16
1933,Dinner at Eight,film,3339200,457963,28
1933,Topaze,film,9179200,469195,19
1933,She Done Him Wrong,film,60155,473853,13
1933,Bombshell,film,3724251,478533,14
1933,Design For Living,film,22110321,481541,19
1933,The Private Life of Henry VIII,film,61074,502544,23
1934,The Scarlet Pimpernel,film,9779574,53920,39
1934,The Black Cat,film,2084027,297505,26
1934,L'Atalante,film,3671100,316092,6
1934,Manhattan Melodrama,film,691308,343416,15
1934,The Thin Man,film,61175,356113,64
1934,The Man Who Knew Too Much,film,2345042,390137,45
1934,It Happened One Night,film,44696,395302,57
1934,Babes in Toyland,film,365905,431298,45
1934,The Goddess,film,6506395,440179,19
1934,Bright Eyes,film,1199985,440381,17
1934,Twentieth Century,film,221748,442191,17
1934,Our Daily Bread,film,8815105,491303,18
1935,Captain Blood,film,61481,47995,37
1935,Roberta,film,12800555,54294,7
1935,Werewolf of London,film,3566511,297506,8
1935,Bride of Frankenstein,film,73375,297507,49
1935,Triumph of the Will,film,30039,321788,21
1935,Top Hat,film,61501,327857,57
1935,A Night At The Opera,film,75263,380658,49
1935,The Raven (1935),film,3564394,381358,6
1935,The 39 Steps,film,3724436,406457,60
1935,The Phantom Empire,film,3286039,451297,32
1935,Mutiny on the Bounty,film,3992212,477692,34
1935,Ruggles of Red Gap,film,61499,480438,15
1935,Mad Love,film,2310279,485157,16
1935,The Littlest Rebel,film,7450016,501504,13
1935,The Little Colonel,film,3021304,502433,13
1936,Undersea Kingdom,film,5315073,51395,12
1936,Mary of Scotland,film,600132,62006,32
1936,Dracula's Daughter,film,2055366,297508,35
1936,The Invisible Ray,film,2774378,300920,13
1936,Mr. Deeds Goes to Town,film,61508,314829,26
1936,Flash Gordon (serial),film,73471,317282,25
1936,Modern Times,film,74962,358403,29
1936,Things to Come,film,104643,393166,22
1936,The Great Ziegfeld,film,44437,395305,20
1936,My Man Godfrey,film,74979,395306,40
1936,Dodsworth,film,14576560,467103,27
1936,Libeled Lady,film,61507,468707,13
1936,The Devil-Doll,film,9334904,469781,27
1936,The Petrified Forest,film,560414,470979,24
1936,Fury (1936),film,73498,473793,16
1936,The Story Of Louis Pasteur,film,61514,482066,13
1936,Showboat,film,2711674,489268,17
1936,Anthony Adverse,film,61505,494867,19
1936,Dimples,film,17377861,501982,6
1937,The Prisoner of Zenda,film,9285648,55816,51
1937,Lost Horizon,film,61529,336779,18
1937,The Awful Truth,film,61522,342326,37
1937,A Day At The Races,film,606121,359256,7
1937,A Star Is Born,film,3450569,377092,16
1937,The Last Gangster,film,22275512,377201,14
1937,Fire Over England,film,3676065,395307,47
1937,Stage Door,film,61531,395309,33
1937,Topper,film,1224344,470328,17
1937,Nothing Sacred,film,1850265,477165,13
1937,Stella Dallas,film,16113015,484635,17
1937,The Dybbuk,film,19261667,492096,10
1938,The Adventures of Robin Hood,film,62084,280101,70
1938,Reefer Madness,film,3383198,309623,52
1938,The Lady Vanishes,film,9404578,344021,34
1938,Alexander Nevsky,film,385895,360837,52
1938,Bringing Up Baby,film,73376,386125,62
1938,Angels with Dirty Faces,film,145621,395222,28
1938,Jezebel,film,1396988,455639,14
1938,Four Daughters,film,62095,497406,14
1938,Boys Town,film,740989,498000,12
1939,Young Man's Fancy,film,17193564,224670,11
1939,Son of Frankenstein,film,2206376,297510,20
1939,The Roaring Twenties,film,2265669,344955,24
1939,Gone with the Wind,film,2804704,388877,213
1939,Ninotchka,film,62118,390549,31
1939,Mr. Smith Goes to Washington,film,62117,395310,72
1939,Gunga Din,film,6504325,397161,11
1939,Stagecoach,film,62122,399889,23
1939,"Goodbye, Mr. Chips",film,1126798,402461,21
